time (s),(VT("/VOUT") - VT("/IN3")) temp 0  (V),time (s),(VT("/VOUT") - VT("/IN3")) temp 27  (V),time (s),(VT("/VOUT") - VT("/IN3")) temp 70  (V)
0.000,84.91E-9,0.000,95.74E-9,0.000,114.1E-9
2.329E-12,1.399E-6,2.329E-12,1.266E-6,2.329E-12,1.039E-6
2.911E-12,1.769E-6,2.923E-12,1.619E-6,2.945E-12,1.351E-6
4.076E-12,2.532E-6,4.111E-12,2.387E-6,4.176E-12,2.092E-6
5.238E-12,3.153E-6,5.297E-12,3.082E-6,5.409E-12,2.852E-6
6.698E-12,3.528E-6,6.860E-12,3.644E-6,7.873E-12,3.845E-6
8.151E-12,3.382E-6,8.403E-12,3.691E-6,9.609E-12,3.956E-6
9.610E-12,2.756E-6,9.932E-12,3.244E-6,11.28E-12,3.570E-6
11.21E-12,1.643E-6,11.60E-12,2.290E-6,13.13E-12,2.645E-6
13.02E-12,47.59E-9,13.46E-12,816.1E-9,15.16E-12,1.178E-6
15.13E-12,-2.023E-6,15.61E-12,-1.178E-6,17.52E-12,-885.6E-9
17.65E-12,-4.495E-6,18.14E-12,-3.675E-6,20.29E-12,-3.554E-6
20.71E-12,-7.190E-6,21.17E-12,-6.529E-6,23.58E-12,-6.702E-6
24.55E-12,-9.874E-6,24.89E-12,-9.529E-6,27.56E-12,-10.13E-6
29.53E-12,-12.28E-6,29.58E-12,-12.41E-6,32.49E-12,-13.56E-6
36.36E-12,-14.13E-6,35.75E-12,-14.88E-6,38.81E-12,-16.70E-6
46.17E-12,-15.21E-6,44.34E-12,-16.68E-6,47.29E-12,-19.22E-6
60.89E-12,-15.55E-6,56.51E-12,-17.59E-6,58.92E-12,-20.81E-6
87.14E-12,-15.46E-6,75.40E-12,-17.78E-6,75.67E-12,-21.47E-6
129.7E-12,-15.33E-6,109.1E-12,-17.64E-6,103.3E-12,-21.50E-6
179.0E-12,-15.34E-6,159.2E-12,-17.55E-6,148.9E-12,-21.33E-6
224.7E-12,-15.42E-6,208.9E-12,-17.60E-6,200.3E-12,-21.31E-6
266.3E-12,-15.50E-6,254.0E-12,-17.69E-6,248.2E-12,-21.40E-6
305.2E-12,-15.59E-6,295.7E-12,-17.80E-6,292.5E-12,-21.53E-6
343.1E-12,-15.66E-6,335.5E-12,-17.89E-6,334.3E-12,-21.65E-6
382.0E-12,-15.71E-6,375.2E-12,-17.97E-6,375.5E-12,-21.75E-6
426.4E-12,-15.69E-6,417.9E-12,-17.98E-6,419.4E-12,-21.77E-6
466.8E-12,-15.58E-6,474.2E-12,-17.85E-6,475.3E-12,-21.59E-6
